position,salary,hours,years,respon,salq,years_cut,time
TRABAJADOR OPERATIVO B,531928.0,Tiempo Completo,4,PENDIENTE                                                                                                                                                                                                                                                       ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,163452.55,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,679111.5,1/2 tiempo,4,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO C,549258.0,Tiempo Completo,0,TÉCNICO EN ARCHIVÍSTICA                                                                                                                                                                                                                                         ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,513602.05,Tiempo Completo,1,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,578416.5,Tiempo Completo,4,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,341815.45,1/2 tiempo,3,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,618709.3,7/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,832269.1,3/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO B,203287.5,1/2 tiempo,1,PENDIENTE.........                                                                                                                                                                                                                                              ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO A,503107.0,Tiempo Completo,3,TÉCNICO EN GESTIÓN DE POSGRADOS A                                                                                                                                                                                                                               ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,459593.65,3/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,757548.85,7/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,31136.3,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO B,531928.0,Tiempo Completo,4,CONSERJE                                                                                                                                                                                                                                                        ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,590642.5,Tiempo Completo,2,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1062945.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,166713.85,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,174239.45,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESIONAL A,750851.0,Tiempo Completo,2,PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,170907.7,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,566129.5,7/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL A,180928.0,1/4 de tiempo,0,PROFESIONAL TRANSCRIPTOR DE PARTITURAS                                                                                                                                                                                                                          ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,208067.25,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,256801.05,1/2 tiempo,0,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,76598.95,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,578416.5,Tiempo Completo,4,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,377174.05,1/2 tiempo,3,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,96300.4,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,416134.5,1/2 tiempo,0,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,153197.85,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,516812.2,7/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,634459.0,Tiempo Completo,4,CHOFER                                                                                                                                                                                                                                                          ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,831497.3,7/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,791997.95,Tiempo Completo,0,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,153197.85,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,312385.35,3/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,558458.0,Tiempo Completo,4,ENCARGADO DE EQUIPO AUDIOVISUAL E INSTALACIONES                                                                                                                                                                                                                 ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,76598.95,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,36158.3,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,552767.0,1/2 tiempo,4,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,513602.05,Tiempo Completo,0,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,598375.0,Tiempo Completo,4,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,256361.5,3/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,276837.0,1/2 tiempo,2,TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,124545.35,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,192600.75,3/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
